date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
9/1/2024,29.5,25.9,33.2,190,,1005,9180,Ahmedabad
10/1/2024,30.3,25,35.5,8,,1009.5,,Ahmedabad
11/1/2024,26.7,19.3,34.2,0,,1013.1,,Ahmedabad
12/1/2024,21.8,15.2,28.4,0,,1014.2,,Ahmedabad
1/1/2025,21.9,14.8,29,0,,1014.3,15900,Ahmedabad
2/1/2025,25.1,17.3,32.8,0,,1013.6,16380,Ahmedabad
3/1/2025,29.1,20.9,37.4,0,,1010.7,19200,Ahmedabad
4/1/2025,33.6,25.5,41.7,0,,1006.7,19320,Ahmedabad
5/1/2025,33,27.4,38.6,115,,1002.7,16020,Ahmedabad
6/1/2025,31.6,27.1,36.1,250,,1000.5,8880,Ahmedabad
7/1/2025,29.7,26.5,32.9,248,,1000.3,3180,Ahmedabad
8/1/2025,29.5,26,33.1,298,,1003.2,6720,Ahmedabad
9/1/2025,29.5,25.6,33.3,185,,1005.3,9780,Ahmedabad
10/1/2025,28.3,23.2,33.5,42,,1009.4,12720,Ahmedabad
11/1/2025,24.3,17.9,30.8,7,,1014.4,13980,Ahmedabad
12/1/2025,22.7,15.5,30,0,,1015.5,15420,Ahmedabad
1/1/2020,24.1,18.5,29.8,39,,1013.7,14700,Hyderabad
2/1/2020,25.2,19,31.4,4,,1013.4,14700,Hyderabad
3/1/2020,28.4,22.2,34.6,24,,1010.1,14880,Hyderabad
4/1/2020,31.5,25,37.9,21,,1007.9,15060,Hyderabad
5/1/2020,33.5,27.2,39.8,42,,1004.1,15900,Hyderabad
6/1/2020,29.3,24.5,34,225,,1002.8,10740,Hyderabad
7/1/2020,27.5,23.3,31.7,129,,1003.3,8640,Hyderabad
8/1/2020,26.1,22.7,29.5,250,,1003.4,7140,Hyderabad
9/1/2020,27.2,23,31.4,204,,1004.7,8280,Hyderabad
10/1/2020,26.1,21.3,30.8,401,,1006.7,10200,Hyderabad
11/1/2020,24.1,17.9,30.3,9,,1013.1,13560,Hyderabad
12/1/2020,22.5,15.3,29.6,0,,1013.5,16320,Hyderabad
1/1/2021,24.4,18.6,30.2,2,,1012.1,14100,Hyderabad
2/1/2021,24.3,17.4,31.3,6,,1012.6,14940,Hyderabad
3/1/2021,28.8,21.3,36.3,0,,1009.3,15480,Hyderabad
4/1/2021,31,24.6,37.4,28,,1006.9,13800,Hyderabad
5/1/2021,31.5,25.6,37.3,35,,1004.2,15540,Hyderabad
6/1/2021,28.4,23.8,33,158,,1003.9,9600,Hyderabad
7/1/2021,26.7,23.1,30.4,326,,1002.4,7140,Hyderabad
8/1/2021,27.1,23.1,31.1,142,,1004.5,9000,Hyderabad
9/1/2021,26.3,22.6,29.9,220,,1004.4,7740,Hyderabad
10/1/2021,26.7,21.4,31.9,165,,1008.1,13740,Hyderabad
11/1/2021,25.1,20.4,29.7,9,,1010.5,8520,Hyderabad
12/1/2021,23.3,16.8,29.7,0,,1014.3,13560,Hyderabad
1/1/2022,23.1,17,29.3,4,,1012.7,13860,Hyderabad
2/1/2022,25.1,18.1,32,0,,1011.1,14940,Hyderabad
3/1/2022,29.3,22.2,36.3,0,,1007.9,13620,Hyderabad
4/1/2022,32.5,26,39,3,,1006.1,,Hyderabad
5/1/2022,32.1,26.2,38.1,81,,1001.9,14580,Hyderabad
6/1/2022,30.3,24.7,35.9,85,,1002.3,10320,Hyderabad
7/1/2022,25.7,22.2,29.3,372,,1002.8,6060,Hyderabad
8/1/2022,26.7,22.8,30.7,93,,1003.3,9300,Hyderabad
9/1/2022,26.5,22.3,30.7,181,,1005.7,8340,Hyderabad
10/1/2022,24.9,19.9,30,162,,1009.6,12420,Hyderabad
11/1/2022,23.6,17.2,30,1,,1012.3,13260,Hyderabad
12/1/2022,24.1,18.2,29.9,8,,1012.3,13140,Hyderabad
1/1/2023,23.7,17.4,29.9,0,,1013.9,15720,Hyderabad
2/1/2023,25.7,18,33.5,0,,1012.5,16260,Hyderabad
3/1/2023,27.2,20.9,33.5,53,,1010.7,14580,Hyderabad
4/1/2023,30,23.8,36.2,134,,1007.8,15180,Hyderabad
5/1/2023,31.3,25.7,36.9,87,,1006,15600,Hyderabad
6/1/2023,31.9,26.4,37.5,80,,1002.8,13320,Hyderabad
7/1/2023,26.5,23.2,29.8,336,,1003.3,5700,Hyderabad
8/1/2023,27.7,23.8,31.5,61,,1006.1,10920,Hyderabad
9/1/2023,26.9,23.2,30.5,345,,1005,7440,Hyderabad
10/1/2023,26.8,21,32.6,0,,1010.5,14820,Hyderabad
11/1/2023,25.9,21.3,30.4,23,,1013,9840,Hyderabad
12/1/2023,22.9,17.1,28.6,4,,1014.1,12900,Hyderabad
1/1/2024,24.3,18.8,29.9,0,,1014.1,12840,Hyderabad
2/1/2024,26.9,20.3,33.4,0,,1013.1,15120,Hyderabad
3/1/2024,30.1,23.9,36.3,0,,1010.3,12480,Hyderabad
4/1/2024,33,26.9,39.1,1,,1006.3,14160,Hyderabad
5/1/2024,32.5,26.6,38.5,147,,1003.1,16200,Hyderabad
6/1/2024,29.5,25,34.1,123,,1002.7,9600,Hyderabad
7/1/2024,26.9,23.7,30,175,,1001.5,5640,Hyderabad
8/1/2024,27.5,23.7,31.3,265,,1004.9,8340,Hyderabad
9/1/2024,26.5,23.1,30,277,,1004.9,8700,Hyderabad
10/1/2024,27.3,22.7,31.8,55,,1008.9,12060,Hyderabad
11/1/2024,24.5,18.5,30.6,3,,1012,13740,Hyderabad
12/1/2024,23.9,18.9,29,10,,1012.5,10200,Hyderabad
1/1/2025,23.2,16.6,29.8,0,,1013.2,15780,Hyderabad
2/1/2025,26.9,19.7,34.1,0,,1012.1,15900,Hyderabad
3/1/2025,29.1,22,36.3,32,,1009.3,15660,Hyderabad
4/1/2025,30.9,24.8,37.1,113,,1006.7,14700,Hyderabad
5/1/2025,30,24.5,35.5,74,,1002.9,12780,Hyderabad
6/1/2025,28.9,24.2,33.6,14,,1002.5,9960,Hyderabad
7/1/2025,26.9,23,30.9,206,,1002.5,8520,Hyderabad
8/1/2025,25.8,22.1,29.5,360,,1004.6,6900,Hyderabad
9/1/2025,26,22,30,301,,1005.5,7380,Hyderabad
10/1/2025,26.1,21.8,30.3,163,,1008.8,10800,Hyderabad
11/1/2025,23.5,17.4,29.7,20,,1013.5,14580,Hyderabad
12/1/2025,21.4,13.9,28.9,0,,1014.7,16020,Hyderabad
1/1/2020,26.2,21.8,30.5,64,,1014.1,15000,Chennai
2/1/2020,27.2,22.4,32,0,,1014.4,16140,Chennai
3/1/2020,29,24.4,33.7,0,,1011.9,17280,Chennai
4/1/2020,30.8,26.2,35.5,35,,1010.3,16860,Chennai
5/1/2020,33.3,28.5,38.1,5,,1006.1,17400,Chennai
6/1/2020,33,28.1,38,21,,1004.3,11400,Chennai
7/1/2020,30.1,25.8,34.3,303,,1004.9,9780,Chennai
8/1/2020,30.1,26.4,33.9,100,,1005.3,6600,Chennai
9/1/2020,29.3,25.4,33.3,175,,1006,7080,Chennai
10/1/2020,29.3,25.3,33.3,158,,1008.3,7920,Chennai
11/1/2020,27,23.3,30.6,564,,1011.5,9300,Chennai
12/1/2020,25.6,21.9,29.4,218,,1012.7,9300,Chennai
1/1/2021,25.2,22.3,29.3,231,,1011.9,11220,Chennai
2/1/2021,24.8,20.6,29.9,24.7,,1012.9,15300,Chennai
3/1/2021,27.1,22.5,32.8,0.2,,1010.9,16800,Chennai
4/1/2021,29.7,26,34.6,11.9,,1008.9,15720,Chennai
5/1/2021,30.9,27.4,35.7,25.2,,1006,16200,Chennai
6/1/2021,30.9,27.2,36.3,52.4,,1005.6,12600,Chennai
7/1/2021,29.4,25.9,34.3,190.5,,1004.7,10800,Chennai
8/1/2021,29.1,25.6,34.4,179.2,,1006,11640,Chennai
9/1/2021,28.8,25.8,33.6,167,,1005.7,8940,Chennai
10/1/2021,27.7,24.8,32.5,229,,1007.7,9180,Chennai
11/1/2021,25.6,23.5,28.8,648.2,,1008.7,3960,Chennai
12/1/2021,25.2,21.6,29.8,70.6,,1013.4,12600,Chennai
